o,d,mode,component,value,status
201,201,car,ivt,4.424,measured
201,202,car,ivt,12.270,measured
201,203,car,ivt,17.080,derived
201,204,car,ivt,19.389,derived
201,205,car,ivt,27.937,derived
201,206,car,ivt,21.729,derived
201,207,car,ivt,19.983,derived
201,208,car,ivt,21.020,derived
201,209,car,ivt,24.479,derived
201,210,car,ivt,21.853,derived
201,211,car,ivt,24.616,derived
201,212,car,ivt,25.465,derived
201,213,car,ivt,32.973,derived
201,214,car,ivt,37.730,derived
201,215,car,ivt,43.271,derived
201,216,car,ivt,54.195,derived
201,217,car,ivt,67.165,derived
201,101,car,ivt,36.297,derived
201,102,car,ivt,34.898,derived
201,103,car,ivt,32.200,derived
201,104,car,ivt,29.484,derived
201,301,car,ivt,34.378,derived
201,302,car,ivt,32.429,derived
201,303,car,ivt,30.321,derived
201,304,car,ivt,28.134,derived
202,201,car,ivt,11.117,derived
202,202,car,ivt,8.061,measured
202,203,car,ivt,11.503,derived
202,204,car,ivt,13.479,derived
202,205,car,ivt,22.686,derived
202,206,car,ivt,16.469,derived
202,207,car,ivt,15.333,derived
202,208,car,ivt,16.999,derived
202,209,car,ivt,16.545,derived
202,210,car,ivt,20.058,derived
202,211,car,ivt,22.510,derived
202,212,car,ivt,25.859,derived
202,213,car,ivt,32.422,derived
202,214,car,ivt,37.717,derived
202,215,car,ivt,43.567,derived
202,216,car,ivt,55.486,derived
202,217,car,ivt,69.595,derived
202,101,car,ivt,33.797,derived
202,102,car,ivt,32.731,derived
202,103,car,ivt,30.286,derived
202,104,car,ivt,28.013,derived
202,301,car,ivt,31.597,derived
202,302,car,ivt,29.773,derived
202,303,car,ivt,27.785,derived
202,304,car,ivt,26.206,derived
203,201,car,ivt,17.601,derived
203,202,car,ivt,11.522,derived
203,203,car,ivt,6.012,derived
203,204,car,ivt,8.501,derived
203,205,car,ivt,10.466,derived
203,206,car,ivt,12.925,derived
203,207,car,ivt,12.825,derived
203,208,car,ivt,14.146,derived
203,209,car,ivt,16.394,derived
203,210,car,ivt,20.508,derived
203,211,car,ivt,23.869,derived
203,212,car,ivt,25.778,derived
203,213,car,ivt,32.359,derived
203,214,car,ivt,37.888,derived
203,215,car,ivt,43.844,derived
203,216,car,ivt,56.306,derived
203,217,car,ivt,71.102,derived
203,101,car,ivt,32.259,derived
203,102,car,ivt,31.475,derived
203,103,car,ivt,29.300,derived
203,104,car,ivt,27.453,derived
203,301,car,ivt,29.901,derived
203,302,car,ivt,28.232,derived
203,303,car,ivt,26.417,derived
203,304,car,ivt,25.388,derived
204,201,car,ivt,18.785,derived
204,202,car,ivt,12.773,derived
204,203,car,ivt,7.839,derived
204,204,car,ivt,7.192,measured
204,205,car,ivt,6.620,derived
204,206,car,ivt,9.889,measured
204,207,car,ivt,12.163,derived
204,208,car,ivt,14.539,derived
204,209,car,ivt,17.522,derived
204,210,car,ivt,21.590,derived
204,211,car,ivt,24.090,derived
204,212,car,ivt,25.835,derived
204,213,car,ivt,32.321,derived
204,214,car,ivt,37.931,derived
204,215,car,ivt,43.906,derived
204,216,car,ivt,56.626,derived
204,217,car,ivt,71.781,derived
204,101,car,ivt,31.360,derived
204,102,car,ivt,30.753,derived
204,103,car,ivt,28.767,derived
204,104,car,ivt,27.200,derived
204,301,car,ivt,28.935,derived
204,302,car,ivt,27.381,derived
204,303,car,ivt,25.701,derived
204,304,car,ivt,25.025,derived
205,201,car,ivt,20.605,derived
205,202,car,ivt,14.291,derived
205,203,car,ivt,9.720,derived
205,204,car,ivt,7.369,derived
205,205,car,ivt,5.877,derived
205,206,car,ivt,10.291,derived
205,207,car,ivt,16.994,measured
205,208,car,ivt,12.184,derived
205,209,car,ivt,16.695,derived
205,210,car,ivt,22.052,derived
205,211,car,ivt,24.023,derived
205,212,car,ivt,25.630,derived
205,213,car,ivt,32.001,derived
205,214,car,ivt,37.644,derived
205,215,car,ivt,43.615,derived
205,216,car,ivt,56.497,derived
205,217,car,ivt,71.904,derived
205,101,car,ivt,30.438,derived
205,102,car,ivt,29.956,derived
205,103,car,ivt,28.114,derived
205,104,car,ivt,26.759,derived
205,301,car,ivt,27.977,derived
205,302,car,ivt,26.514,derived
205,303,car,ivt,24.941,derived
205,304,car,ivt,24.720,derived
206,201,car,ivt,22.192,derived
206,202,car,ivt,17.678,derived
206,203,car,ivt,13.597,derived
206,204,car,ivt,8.361,derived
206,205,car,ivt,10.222,derived
206,206,car,ivt,6.013,measured
206,207,car,ivt,7.875,derived
206,208,car,ivt,10.573,derived
206,209,car,ivt,14.802,derived
206,210,car,ivt,20.532,derived
206,211,car,ivt,21.522,derived
206,212,car,ivt,22.566,derived
206,213,car,ivt,28.864,derived
206,214,car,ivt,34.515,derived
206,215,car,ivt,40.481,derived
206,216,car,ivt,53.434,derived
206,217,car,ivt,62.195,derived
206,101,car,ivt,27.312,derived
206,102,car,ivt,26.780,derived
206,103,car,ivt,24.914,derived
206,104,car,ivt,23.253,derived
206,301,car,ivt,24.870,derived
206,302,car,ivt,23.360,derived
206,303,car,ivt,21.753,derived
206,304,car,ivt,21.397,derived
207,201,car,ivt,19.983,derived
207,202,car,ivt,15.415,derived
207,203,car,ivt,12.825,derived
207,204,car,ivt,12.163,derived
207,205,car,ivt,11.895,derived
207,206,car,ivt,10.106,measured
207,207,car,ivt,3.958,measured
207,208,car,ivt,8.577,derived
207,209,car,ivt,12.313,derived
207,210,car,ivt,15.921,derived
207,211,car,ivt,19.151,derived
207,212,car,ivt,20.784,derived
207,213,car,ivt,27.215,derived
207,214,car,ivt,32.841,derived
207,215,car,ivt,37.344,derived
207,216,car,ivt,51.639,derived
207,217,car,ivt,67.045,derived
207,101,car,ivt,26.466,derived
207,102,car,ivt,25.735,derived
207,103,car,ivt,23.663,derived
207,104,car,ivt,22.062,derived
207,301,car,ivt,24.099,derived
207,302,car,ivt,22.446,derived
207,303,car,ivt,20.673,derived
207,304,car,ivt,19.886,derived
208,201,car,ivt,19.900,derived
208,202,car,ivt,16.104,derived
208,203,car,ivt,14.146,derived
208,204,car,ivt,13.848,derived
208,205,car,ivt,13.826,derived
208,206,car,ivt,12.147,derived
208,207,car,ivt,7.072,derived
208,208,car,ivt,6.473,derived
208,209,car,ivt,9.619,derived
208,210,car,ivt,17.961,derived
208,211,car,ivt,17.455,derived
208,212,car,ivt,18.572,derived
208,213,car,ivt,25.496,derived
208,214,car,ivt,31.106,derived
208,215,car,ivt,34.320,derived
208,216,car,ivt,49.855,derived
208,217,car,ivt,60.878,derived
208,101,car,ivt,25.236,derived
208,102,car,ivt,24.373,derived
208,103,car,ivt,22.177,derived
208,104,car,ivt,18.629,derived
208,301,car,ivt,22.941,derived
208,302,car,ivt,21.198,derived
208,303,car,ivt,19.325,derived
208,304,car,ivt,18.296,derived
209,201,car,ivt,30.726,derived
209,202,car,ivt,16.552,derived
209,203,car,ivt,16.394,derived
209,204,car,ivt,16.810,derived
209,205,car,ivt,17.135,derived
209,206,car,ivt,14.511,derived
209,207,car,ivt,12.351,derived
209,208,car,ivt,10.200,derived
209,209,car,ivt,7.657,derived
209,210,car,ivt,11.702,derived
209,211,car,ivt,14.843,derived
209,212,car,ivt,16.305,derived
209,213,car,ivt,23.090,derived
209,214,car,ivt,28.555,derived
209,215,car,ivt,34.495,derived
209,216,car,ivt,46.953,derived
209,217,car,ivt,61.995,derived
209,101,car,ivt,24.566,derived
209,102,car,ivt,23.339,derived
209,103,car,ivt,20.807,derived
209,104,car,ivt,18.395,derived
209,301,car,ivt,22.538,derived
209,302,car,ivt,20.617,derived
209,303,car,ivt,18.539,derived
209,304,car,ivt,16.542,derived
210,201,car,ivt,20.283,derived
210,202,car,ivt,22.090,derived
210,203,car,ivt,20.970,derived
210,204,car,ivt,21.944,derived
210,205,car,ivt,22.052,derived
210,206,car,ivt,20.075,derived
210,207,car,ivt,17.392,derived
210,208,car,ivt,15.345,derived
210,209,car,ivt,12.046,derived
210,210,car,ivt,11.154,derived
210,211,car,ivt,11.968,derived
210,212,car,ivt,13.618,derived
210,213,car,ivt,19.757,derived
210,214,car,ivt,25.278,derived
210,215,car,ivt,30.886,derived
210,216,car,ivt,42.519,derived
210,217,car,ivt,57.165,derived
210,101,car,ivt,23.849,derived
210,102,car,ivt,22.178,derived
210,103,car,ivt,19.304,derived
210,104,car,ivt,16.167,derived
210,301,car,ivt,22.367,derived
210,302,car,ivt,20.392,derived
210,303,car,ivt,18.304,derived
210,304,car,ivt,15.330,derived
211,201,car,ivt,24.616,derived
211,202,car,ivt,25.339,derived
211,203,car,ivt,23.869,derived
211,204,car,ivt,24.090,derived
211,205,car,ivt,24.023,derived
211,206,car,ivt,21.062,derived
211,207,car,ivt,19.151,derived
211,208,car,ivt,17.499,derived
211,209,car,ivt,14.426,derived
211,210,car,ivt,10.280,derived
211,211,car,ivt,5.729,derived
211,212,car,ivt,8.439,derived
211,213,car,ivt,15.702,derived
211,214,car,ivt,21.079,derived
211,215,car,ivt,27.011,derived
211,216,car,ivt,39.558,derived
211,217,car,ivt,54.967,derived
211,101,car,ivt,19.640,derived
211,102,car,ivt,17.454,derived
211,103,car,ivt,15.045,derived
211,104,car,ivt,12.119,derived
211,301,car,ivt,18.404,derived
211,302,car,ivt,16.485,derived
211,303,car,ivt,13.194,derived
211,304,car,ivt,11.637,derived
212,201,car,ivt,26.830,derived
212,202,car,ivt,24.610,derived
212,203,car,ivt,25.778,derived
212,204,car,ivt,25.835,derived
212,205,car,ivt,25.630,derived
212,206,car,ivt,24.772,derived
212,207,car,ivt,20.784,derived
212,208,car,ivt,19.020,derived
212,209,car,ivt,16.489,derived
212,210,car,ivt,13.618,derived
212,211,car,ivt,9.237,derived
212,212,car,ivt,6.623,derived
212,213,car,ivt,13.134,derived
212,214,car,ivt,19.141,derived
212,215,car,ivt,26.366,derived
212,216,car,ivt,46.684,derived
212,217,car,ivt,51.773,derived
212,101,car,ivt,17.792,derived
212,102,car,ivt,15.920,derived
212,103,car,ivt,11.612,derived
212,104,car,ivt,9.773,derived
212,301,car,ivt,16.841,derived
212,302,car,ivt,14.125,derived
212,303,car,ivt,13.322,derived
212,304,car,ivt,10.198,derived
213,201,car,ivt,32.973,derived
213,202,car,ivt,32.422,derived
213,203,car,ivt,32.359,derived
213,204,car,ivt,32.321,derived
213,205,car,ivt,32.001,derived
213,206,car,ivt,28.864,derived
213,207,car,ivt,27.215,derived
213,208,car,ivt,25.136,derived
213,209,car,ivt,21.315,derived
213,210,car,ivt,19.033,derived
213,211,car,ivt,15.570,derived
213,212,car,ivt,14.053,derived
213,213,car,ivt,4.525,derived
213,214,car,ivt,13.929,derived
213,215,car,ivt,18.639,derived
213,216,car,ivt,31.757,derived
213,217,car,ivt,48.075,derived
213,101,car,ivt,16.419,derived
213,102,car,ivt,14.422,derived
213,103,car,ivt,13.771,derived
213,104,car,ivt,13.575,derived
213,301,car,ivt,17.112,derived
213,302,car,ivt,16.303,derived
213,303,car,ivt,16.018,derived
213,304,car,ivt,14.768,derived
214,201,car,ivt,37.730,derived
214,202,car,ivt,35.873,derived
214,203,car,ivt,37.888,derived
214,204,car,ivt,37.931,derived
214,205,car,ivt,37.644,derived
214,206,car,ivt,34.515,derived
214,207,car,ivt,32.841,derived
214,208,car,ivt,31.222,derived
214,209,car,ivt,28.578,derived
214,210,car,ivt,24.786,derived
214,211,car,ivt,21.229,derived
214,212,car,ivt,20.367,derived
214,213,car,ivt,12.507,derived
214,214,car,ivt,4.824,measured
214,215,car,ivt,15.804,derived
214,216,car,ivt,26.155,derived
214,217,car,ivt,43.960,derived
214,101,car,ivt,19.856,derived
214,102,car,ivt,17.038,derived
214,103,car,ivt,17.071,derived
214,104,car,ivt,18.077,derived
214,301,car,ivt,21.358,derived
214,302,car,ivt,21.099,derived
214,303,car,ivt,20.265,derived
214,304,car,ivt,20.389,derived
215,201,car,ivt,43.271,derived
215,202,car,ivt,43.567,derived
215,203,car,ivt,43.844,derived
215,204,car,ivt,43.906,derived
215,205,car,ivt,43.615,derived
215,206,car,ivt,41.948,derived
215,207,car,ivt,38.817,derived
215,208,car,ivt,35.624,derived
215,209,car,ivt,33.225,derived
215,210,car,ivt,34.033,measured
215,211,car,ivt,25.843,derived
215,212,car,ivt,27.551,derived
215,213,car,ivt,21.449,derived
215,214,car,ivt,15.221,derived
215,215,car,ivt,7.486,measured
215,216,car,ivt,20.331,derived
215,217,car,ivt,49.236,derived
215,101,car,ivt,26.214,derived
215,102,car,ivt,22.925,derived
215,103,car,ivt,25.686,derived
215,104,car,ivt,23.990,derived
215,301,car,ivt,26.516,derived
215,302,car,ivt,26.464,derived
215,303,car,ivt,26.941,derived
215,304,car,ivt,26.294,derived
216,201,car,ivt,50.139,derived
216,202,car,ivt,55.486,derived
216,203,car,ivt,56.306,derived
216,204,car,ivt,56.626,derived
216,205,car,ivt,56.497,derived
216,206,car,ivt,53.434,derived
216,207,car,ivt,51.639,derived
216,208,car,ivt,49.855,derived
216,209,car,ivt,43.389,derived
216,210,car,ivt,41.158,derived
216,211,car,ivt,34.550,derived
216,212,car,ivt,37.135,derived
216,213,car,ivt,31.757,derived
216,214,car,ivt,26.155,derived
216,215,car,ivt,17.200,measured
216,216,car,ivt,4.987,measured
216,217,car,ivt,22.941,derived
216,101,car,ivt,37.747,derived
216,102,car,ivt,36.682,derived
216,103,car,ivt,36.981,derived
216,104,car,ivt,39.721,derived
216,301,car,ivt,39.761,derived
216,302,car,ivt,39.905,derived
216,303,car,ivt,40.347,derived
216,304,car,ivt,41.356,derived
217,201,car,ivt,67.165,derived
217,202,car,ivt,64.710,derived
217,203,car,ivt,71.102,derived
217,204,car,ivt,71.781,derived
217,205,car,ivt,71.904,derived
217,206,car,ivt,62.146,derived
217,207,car,ivt,67.045,derived
217,208,car,ivt,62.050,derived
217,209,car,ivt,61.948,derived
217,210,car,ivt,55.385,derived
217,211,car,ivt,54.967,derived
217,212,car,ivt,53.627,derived
217,213,car,ivt,48.075,derived
217,214,car,ivt,42.732,derived
217,215,car,ivt,37.628,derived
217,216,car,ivt,24.897,derived
217,217,car,ivt,9.928,measured
217,101,car,ivt,54.929,derived
217,102,car,ivt,53.720,derived
217,103,car,ivt,53.702,derived
217,104,car,ivt,53.457,derived
217,301,car,ivt,56.820,derived
217,302,car,ivt,56.775,derived
217,303,car,ivt,56.974,derived
217,304,car,ivt,55.730,derived
101,201,car,ivt,36.297,derived
101,202,car,ivt,31.961,derived
101,203,car,ivt,32.259,derived
101,204,car,ivt,31.360,derived
101,205,car,ivt,30.438,derived
101,206,car,ivt,33.637,derived
101,207,car,ivt,26.466,derived
101,208,car,ivt,26.475,derived
101,209,car,ivt,23.518,derived
101,210,car,ivt,22.459,derived
101,211,car,ivt,19.275,derived
101,212,car,ivt,18.418,derived
101,213,car,ivt,16.419,derived
101,214,car,ivt,19.856,derived
101,215,car,ivt,24.460,derived
101,216,car,ivt,37.747,derived
101,217,car,ivt,54.929,derived
101,101,car,ivt,6.411,measured
101,102,car,ivt,9.430,derived
101,103,car,ivt,10.869,derived
101,104,car,ivt,13.277,measured
101,301,car,ivt,7.936,derived
101,302,car,ivt,10.127,derived
101,303,car,ivt,11.026,derived
101,304,car,ivt,15.021,derived
102,201,car,ivt,34.898,derived
102,202,car,ivt,32.441,derived
102,203,car,ivt,31.475,derived
102,204,car,ivt,30.753,derived
102,205,car,ivt,29.956,derived
102,206,car,ivt,26.780,derived
102,207,car,ivt,25.735,derived
102,208,car,ivt,25.220,derived
102,209,car,ivt,22.464,derived
102,210,car,ivt,22.178,derived
102,211,car,ivt,17.116,derived
102,212,car,ivt,16.479,derived
102,213,car,ivt,14.071,derived
102,214,car,ivt,18.288,derived
102,215,car,ivt,23.278,derived
102,216,car,ivt,36.682,derived
102,217,car,ivt,50.767,derived
102,101,car,ivt,8.557,measured
102,102,car,ivt,11.362,measured
102,103,car,ivt,8.560,derived
102,104,car,ivt,12.618,derived
102,301,car,ivt,9.909,derived
102,302,car,ivt,10.581,derived
102,303,car,ivt,13.184,derived
102,304,car,ivt,13.914,derived
103,201,car,ivt,31.457,derived
103,202,car,ivt,33.918,derived
103,203,car,ivt,29.300,derived
103,204,car,ivt,28.767,derived
103,205,car,ivt,28.114,derived
103,206,car,ivt,26.045,derived
103,207,car,ivt,23.663,derived
103,208,car,ivt,22.851,derived
103,209,car,ivt,21.103,derived
103,210,car,ivt,22.238,derived
103,211,car,ivt,17.563,derived
103,212,car,ivt,12.794,derived
103,213,car,ivt,13.040,derived
103,214,car,ivt,21.054,derived
103,215,car,ivt,23.559,derived
103,216,car,ivt,35.959,derived
103,217,car,ivt,56.898,derived
103,101,car,ivt,13.116,derived
103,102,car,ivt,7.466,derived
103,103,car,ivt,4.511,measured
103,104,car,ivt,7.439,measured
103,301,car,ivt,11.507,derived
103,302,car,ivt,9.980,derived
103,303,car,ivt,9.107,measured
103,304,car,ivt,9.516,derived
104,201,car,ivt,29.330,derived
104,202,car,ivt,28.640,derived
104,203,car,ivt,27.453,derived
104,204,car,ivt,27.200,derived
104,205,car,ivt,26.759,derived
104,206,car,ivt,32.396,measured
104,207,car,ivt,22.062,derived
104,208,car,ivt,33.005,derived
104,209,car,ivt,17.567,derived
104,210,car,ivt,14.367,measured
104,211,car,ivt,12.760,derived
104,212,car,ivt,6.785,measured
104,213,car,ivt,12.458,derived
104,214,car,ivt,18.077,derived
104,215,car,ivt,23.990,derived
104,216,car,ivt,37.189,derived
104,217,car,ivt,53.457,derived
104,101,car,ivt,16.377,derived
104,102,car,ivt,13.371,derived
104,103,car,ivt,6.921,measured
104,104,car,ivt,5.463,measured
104,301,car,ivt,14.257,derived
104,302,car,ivt,12.039,derived
104,303,car,ivt,8.363,measured
104,304,car,ivt,8.404,measured
301,201,car,ivt,34.378,derived
301,202,car,ivt,30.604,derived
301,203,car,ivt,29.901,derived
301,204,car,ivt,28.935,derived
301,205,car,ivt,27.977,derived
301,206,car,ivt,29.528,derived
301,207,car,ivt,24.099,derived
301,208,car,ivt,24.098,derived
301,209,car,ivt,22.093,derived
301,210,car,ivt,23.050,derived
301,211,car,ivt,18.189,derived
301,212,car,ivt,17.323,derived
301,213,car,ivt,17.112,derived
301,214,car,ivt,21.358,derived
301,215,car,ivt,26.371,derived
301,216,car,ivt,39.761,derived
301,217,car,ivt,56.820,derived
301,101,car,ivt,7.203,derived
301,102,car,ivt,10.412,derived
301,103,car,ivt,11.623,derived
301,104,car,ivt,15.155,derived
301,301,car,ivt,6.629,derived
301,302,car,ivt,10.727,derived
301,303,car,ivt,11.175,derived
301,304,car,ivt,13.730,derived
302,201,car,ivt,32.429,derived
302,202,car,ivt,29.773,derived
302,203,car,ivt,28.232,derived
302,204,car,ivt,27.381,derived
302,205,car,ivt,26.514,derived
302,206,car,ivt,23.360,derived
